essential,xorg,X server
essential,xorg-xinit,Display server boot
essential,man,Manual
essential,man-pages,Manual pages
network,openssh,Remote login tool for SSH protocol
network,networkmanager,Network manager
tools,rsync,Synchronizing files across computers
tools,xsel,Manipulate the X selection
tools,fzf,Command line fuzzy finder
tools,scrot,Screenshot software
tools,udiskie,Automount devices
tools,lxappearance,Theme switcher for GTK+
tools,xcape,Configure modifier keys to act as other keys
tools,ripgrep,Faster alternative to grep
tools,htop,Interactive process viewer
tools,imagemagick,Image manipulation tool
tools,zathura-pdf-mupdf,PDF Viewer
tools,yay,AUR package installer
tools,fuse2,Filesystem export utility
tools,efibootmgr,EFI boot manager
tools,gnome-keychain,GNOME keychain manager
tools,seahorse,GNOME keychain GUI
tmux,tmux,Terminal multiplexer
tmux,tmuxp,Configure tmux session + windows + panes via config files
notifier,dunst,Notification system
notifier,libnotify,Notifier
git,git,Version control system
git,diff-so-fancy,Human readable git diff
i3,i3-wm,i3 window tile manager
i3,i3status,i3 status bar
i3,i3lock,i3 lock monitor
i3,dmenu,Dynamic menu for X
i3,feh,X11 image viewer
i3,arc-gtk-theme,Desktop themes
zsh,zsh,Unix shell (Z-Shell)
zsh,zsh-completions,Additional completions for Zsh
zsh,zsh-syntax-highlighting,Syntax highlighting for ZSH
neovim,neovim,Editor... and much more
neovim,python-neovim,Python for neovim
neovim,python2-neovim,Python2 for neovim (AUR)
neovim,ruby-neovim,Ruby for neovim (AUR)
neovim,nodejs-neovim,Nodejs for neovim (AUR)
urxvt,rxvt-unicode,Terminal Urxvt
urxvt,urxvt-tabbedex-mina86-git,Improved tabs for Urxvt (AUR)
js,nodejs,Nodejs (for coc.vim)
js,yarn,Dependency manager (for coc.vim)
js,npm,NPM
firefox,firefox,Browser Firefox
bash,bash-language-server,Bash LS
bash,dialog,Dialog output tool
sound,alsa-utils,Utils for ALSA
sound,alsa-firmware,Firmware for ALSA
sound,pipewire,Pipewire
sound,pipewire-alsa,Pipewire ALSA extension
sound,pipewire-audio,Pipewire audio extension
sound,pipewire-pulse,Pipewire PulseAudio extension
sound,wireplumber,Wireplumber
music,spotify,Spotify
pw,1password,1Password password manager
study,anki,Anki flashcards
study,mpv,MPV (for Anki)
vpn,proton-vpn-gtk-app,Proton VPN app
game,steam,Steam
game,protonup-qt,Compatibility layer manager
game,path-of-building-community-git,Path of Building
video,nvidia,NVIDIA drivers
video,xf86-video-vesa,NVIDIA drivers
cpp,clang,Clang
mail,protonmail-bridge,Proton Mail bridge for Thunderbird
mail,thunderbird, Thunderbird client
